line_id,order_id,product_id,product_name,category,quantity,unit_price,line_total
36791,114148,1020,Power Strip 6-outlet,Electronics,1,261.11,261.11
33225,112931,1097,Insulated Flask,Sports & Outdoors,3,38.98,116.94
40429,115389,1149,Crossbody Bag,Clothing & Accessories,1,37.8,37.8
7117,102774,1114,Magnesium Tablets,Beauty & Health,2,30.14,60.28
32282,112604,1096,Gym Bag 40L,Sports & Outdoors,1,57.56,57.56
46133,117365,1076,Yoga Mat 6mm,Sports & Outdoors,1,119.48,119.48
16320,106453,1016,Phone Stand,Electronics,1,246.15,246.15
45242,117051,1065,Mixing Bowl Set,Home & Kitchen,1,79.42,79.42
31033,112174,1114,Magnesium Tablets,Beauty & Health,1,30.14,30.14
10384,104099,1060,Dish Drying Rack,Home & Kitchen,2,58.11,116.22
8639,103391,1085,Hiking Socks 3-Pack,Sports & Outdoors,2,35.14,70.28
31655,112395,1131,Leather Belt,Clothing & Accessories,3,67.26,201.78
30768,112095,1006,Mechanical Keyboard,Electronics,1,84.91,84.91
45864,117266,1095,Compression Sleeves,Sports & Outdoors,2,32.54,65.08
45593,117172,1116,First Aid Kit Basic,Beauty & Health,1,9.01,9.01
17266,106835,1088,Fitness Tracker Band,Sports & Outdoors,1,99.21,99.21
22662,108989,1001,Wireless Earbuds,Electronics,1,200.2,200.2
7017,102732,1001,Wireless Earbuds,Electronics,3,200.2,600.6
34395,113324,1024,Smart Watch Band,Electronics,1,52.67,52.67
6510,102533,1125,Tweezers Precision,Beauty & Health,1,38.58,38.58
11461,104514,1017,Laptop Cooling Pad,Electronics,1,171.93,171.93
28123,111173,1066,Baking Sheet Pack,Home & Kitchen,3,34.29,102.87
12779,105040,1116,First Aid Kit Basic,Beauty & Health,1,9.01,9.01
3809,101499,1003,Portable Charger,Electronics,1,226.79,226.79
33760,113115,1043,The Lean Startup,Books,1,18.78,18.78
6103,102379,1040,Naked Statistics,Books,1,15.15,15.15
20364,108078,1039,How Charts Lie,Books,2,32.69,65.38
20334,108065,1002,USB-C Hub,Electronics,2,100.36,200.72
33196,112921,1010,Digital Thermometer,Electronics,3,246.78,740.34
35622,113736,1124,Mirror Compact,Beauty & Health,2,16.93,33.86
21752,108634,1020,Power Strip 6-outlet,Electronics,1,261.11,261.11
3943,101551,1027,Data Science Handbook,Books,2,15.21,30.42
4041,101589,1099,Bike Light Set,Sports & Outdoors,1,71.44,71.44
41209,115663,1062,Wine Opener Set,Home & Kitchen,1,71.51,71.51
45305,117075,1071,Candle Set Scented,Home & Kitchen,1,,
40080,115268,1014,Wireless Mouse,Electronics,3,50.41,151.23
33499,113025,1112,Deodorant Roll-On,Beauty & Health,1,32.11,32.11
17743,107038,1041,Data Smart,Books,2,23.16,46.32
8163,103196,1141,Zip Hoodie,Clothing & Accessories,1,56.64,56.64
24774,109851,1065,Mixing Bowl Set,Home & Kitchen,1,79.42,79.42
22780,109034,1048,Sapiens,Books,2,9.72,19.44
24747,109839,1032,Thinking Fast and Slow,Books,3,23.04,69.12
46486,117485,1003,Portable Charger,Electronics,1,226.79,226.79
28349,111260,1035,Designing Data-Intensive Apps,Books,1,16.52,16.52
26523,110532,1043,The Lean Startup,Books,1,18.78,18.78
20047,107961,1049,Factfulness,Books,2,34.9,69.8
20222,108026,1013,HDMI Cable 2m,Electronics,1,287.28,287.28
