order_id,order_date,customer_id,channel,region,order_total,shipping_cost,num_items
100001,2024-01-01 21:28,C01062,mobile_app,Central,108.43,5.95,2
100002,2024-01-01 14:49,C03186,web,East,18.02,5.95,1
100003,2024-01-01 14:28,C00318,mobile_app,North,164.8,5.95,2
100004,2024-01-01 16:20,C03658,web,North,148.95,5.95,3
100005,2024-01-01 13:24,C02843,web,North,61.99,5.95,2
100006,2024-01-01 19:26,C01356,web,South,396.52,5.95,4
100007,2024-01-01 12:53,C01721,web,West,118.46,5.95,3
100008,2024-01-01 06:54,C03608,mobile_app,South,147.3,5.95,2
100009,2024-01-01 06:22,C01224,mobile_app,Central,102.54,5.95,3
100010,2024-01-01 19:34,C03062,mobile_app,West,109.5,5.95,3
100011,2024-01-01 13:31,C00899,web,East,114.12,5.95,2
100012,2024-01-01 18:21,C02740,mobile_app,South,324.83,5.95,4
100013,2024-01-01 11:53,C01915,marketplace,Central,181.04,5.95,4
100014,2024-01-01 23:01,C03715,web,East,785.66,5.95,5
100015,2024-01-01 06:05,C02633,web,Central,133.0,,2
100016,2024-01-01 11:03,C01066,web,North,141.69,5.95,3
100017,2024-01-01 16:21,C03118,mobile_app,South,92.07,5.95,3
100018,2024-01-01 19:16,C03420,web,North,1062.42,5.95,3
100019,2024-01-01 23:03,C03900,web,West,111.83,5.95,2
100020,2024-01-01 07:48,C00128,marketplace,North,359.84,5.95,4
100021,2024-01-01 06:39,C00625,web,East,197.54,5.95,3
100022,2024-01-01 09:36,C03883,web,West,86.71,5.95,2
100023,2024-01-01 17:10,C02482,mobile_app,West,104.84,5.95,1
100024,2024-01-01 09:49,C03356,web,South,83.96,5.95,2
100025,2024-01-01 06:59,C01278,mobile_app,Central,108.29,5.95,3
100026,2024-01-01 18:25,C03857,mobile_app,North,50.41,5.95,1
100027,2024-01-01 13:06,C02856,mobile_app,Central,535.48,5.95,3
100028,2024-01-01 09:50,C02319,mobile_app,South,64.22,5.95,2
100029,2024-01-01 19:42,C01518,web,East,332.09,5.95,4
100030,2024-01-01 06:54,C01721,mobile_app,North,16.77,5.95,1
100031,2024-01-01 17:40,C03652,mobile_app,West,220.57,5.95,3
100032,2024-01-01 19:11,C03006,web,West,109.52,5.95,3
100033,2024-01-01 23:49,C01981,web,Central,338.16,5.95,2
100034,2024-01-01 14:20,C03489,web,Central,121.26,5.95,2
100035,2024-01-01 14:56,C01847,web,East,338.25,5.95,3
100036,2024-01-01 18:21,C00118,web,South,105.06,5.95,1
100037,2024-01-01 21:13,C01454,mobile_app,South,371.1,5.95,4
100038,2024-01-01 14:35,C00042,web,North,137.94,5.95,2
100039,2024-01-01 13:46,C01665,web,West,254.09,5.95,3
100040,2024-01-01 21:41,C02916,web,West,52.6,5.95,1
100041,2024-01-01 08:18,C00908,web,North,64.2,5.95,2
100042,2024-01-01 17:30,C02268,web,South,254.25,5.95,4
100043,2024-01-01 23:21,C01442,mobile_app,South,280.76,5.95,2
100044,2024-01-01 14:14,C00495,mobile_app,South,330.8,5.95,4
100045,2024-01-01 23:48,C02827,web,North,36.52,5.95,1
100046,2024-01-01 21:17,C02968,mobile_app,West,85.16,,4
100047,2024-01-01 15:06,C03411,web,North,12.41,5.95,1
100048,2024-01-01 11:19,C00058,mobile_app,North,1072.86,5.95,5
100049,2024-01-01 07:03,C02267,web,Central,234.21,,2
100050,2024-01-01 21:06,C03575,web,South,151.8,5.95,3
100051,2024-01-01 21:28,C01396,web,North,280.51,5.95,3
100052,2024-01-01 21:07,C03368,web,East,317.47,5.95,3
100053,2024-01-01 07:09,C00612,mobile_app,Central,438.83,5.95,3
100054,2024-01-01 08:15,C00486,mobile_app,South,375.67,5.95,2
100055,2024-01-01 13:49,C02141,web,Central,74.9,5.95,1
100056,2024-01-02 19:19,C02330,mobile_app,East,261.2,5.95,3
100057,2024-01-02 09:48,C00852,mobile_app,South,267.66,5.95,2
100058,2024-01-02 08:10,C00983,web,North,181.18,5.95,3
100059,2024-01-02 06:26,C01846,mobile_app,East,200.33,5.95,4
100060,2024-01-02 07:14,C01181,mobile_app,West,278.59,5.95,5
100061,2024-01-02 20:04,C02816,web,South,314.37,5.95,2
100062,2024-01-02 12:27,C00471,web,East,119.82,5.95,3
100063,2024-01-02 14:52,C00583,web,North,59.86,5.95,1
100064,2024-01-02 15:38,C03068,mobile_app,Central,67.75,5.95,2
100065,2024-01-02 20:07,C01920,mobile_app,West,22.13,5.95,2
100066,2024-01-02 14:32,C02212,web,North,224.24,5.95,4
100067,2024-01-02 07:56,C01770,mobile_app,East,331.06,5.95,2
100068,2024-01-02 06:05,C00938,marketplace,Central,105.02,5.95,1
100069,2024-01-02 06:48,C02754,mobile_app,East,427.14,5.95,5
100070,2024-01-02 11:30,C02126,mobile_app,Central,159.22,5.95,3
100071,2024-01-02 11:37,C01786,mobile_app,East,152.49,5.95,4
100072,2024-01-02 08:30,C01426,web,South,61.1,5.95,1
100073,2024-01-02 09:54,C00659,web,West,55.48,5.95,1
100074,2024-01-02 15:42,C03872,web,West,104.26,5.95,2
100075,2024-01-02 07:29,C00361,web,South,90.0,5.95,2
100076,2024-01-02 18:55,C02108,mobile_app,North,53.45,5.95,1
100077,2024-01-02 23:29,C01693,web,East,135.23,5.95,4
